Hit;Engine;Elapsed_time(s);CPU_user(s);CPU_kernel(s);CPU_Percentage;MaxMemory(Kbytes)
1;ShExML-v0.3.2;29.81;33.95;0.60;115%;512504
2;ShExML-v0.3.2;28.85;32.76;0.78;116%;482296
3;ShExML-v0.3.2;27.78;31.63;0.58;115%;506348
4;ShExML-v0.3.2;29.16;33.63;0.71;117%;498660
5;ShExML-v0.3.2;28.86;32.48;0.82;115%;516304
6;ShExML-v0.3.2;28.58;32.44;0.69;115%;500068
7;ShExML-v0.3.2;29.15;33.34;0.59;116%;499552
8;ShExML-v0.3.2;28.21;31.86;0.75;115%;499932
9;ShExML-v0.3.2;28.80;32.81;0.59;115%;508360
10;ShExML-v0.3.2;27.30;31.40;0.58;117%;490836
11;ShExML-v0.3.2;28.27;32.01;0.68;115%;477852
12;ShExML-v0.3.2;29.51;32.98;0.80;114%;470328
13;ShExML-v0.3.2;28.38;31.93;0.70;114%;497208
14;ShExML-v0.3.2;28.02;31.90;0.60;116%;507616
15;ShExML-v0.3.2;27.95;31.56;0.61;115%;496084
16;ShExML-v0.3.2;27.88;31.51;0.77;115%;487932
17;ShExML-v0.3.2;26.83;30.48;0.57;115%;517144
18;ShExML-v0.3.2;30.94;35.03;0.76;115%;480688
19;ShExML-v0.3.2;28.73;32.73;0.79;116%;471712
20;ShExML-v0.3.2;28.34;32.23;0.74;116%;511396
21;ShExML-v0.3.2;29.07;33.36;0.49;116%;480596
22;ShExML-v0.3.2;28.66;32.28;0.61;114%;518088
23;ShExML-v0.3.2;28.28;31.74;0.88;115%;487400
24;ShExML-v0.3.2;28.81;32.49;0.55;114%;526156
25;ShExML-v0.3.2;28.45;32.19;0.56;115%;503148
26;ShExML-v0.3.2;27.76;31.22;0.55;114%;514148
27;ShExML-v0.3.2;28.46;32.57;0.69;116%;497240
28;ShExML-v0.3.2;28.48;32.05;0.67;114%;513516
29;ShExML-v0.3.2;29.01;33.24;0.63;116%;489292
30;ShExML-v0.3.2;29.60;34.01;0.74;117%;519104
1;ShExML-v0.3.3;18.44;21.96;0.76;123%;509824
2;ShExML-v0.3.3;18.26;22.31;0.60;125%;521956
3;ShExML-v0.3.3;19.70;23.26;0.58;121%;505652
4;ShExML-v0.3.3;17.66;21.08;0.47;122%;520556
5;ShExML-v0.3.3;17.35;20.68;0.49;122%;500996
6;ShExML-v0.3.3;17.46;20.75;0.51;121%;564220
7;ShExML-v0.3.3;18.29;21.75;0.57;122%;517504
8;ShExML-v0.3.3;17.94;21.49;0.61;123%;523012
9;ShExML-v0.3.3;18.88;22.74;0.54;123%;488372
10;ShExML-v0.3.3;18.42;21.97;0.52;122%;513980
11;ShExML-v0.3.3;17.79;20.98;0.58;121%;556972
12;ShExML-v0.3.3;17.55;21.13;0.43;122%;545004
13;ShExML-v0.3.3;17.60;21.24;0.51;123%;539468
14;ShExML-v0.3.3;17.89;21.09;0.52;120%;584120
15;ShExML-v0.3.3;18.13;21.62;0.53;122%;516496
16;ShExML-v0.3.3;17.52;21.05;0.47;122%;515192
17;ShExML-v0.3.3;17.15;20.58;0.55;123%;556704
18;ShExML-v0.3.3;18.71;22.57;0.44;123%;526780
19;ShExML-v0.3.3;17.98;21.41;0.39;121%;532536
20;ShExML-v0.3.3;17.53;21.22;0.53;124%;546032
21;ShExML-v0.3.3;17.49;20.89;0.45;121%;523676
22;ShExML-v0.3.3;18.41;22.16;0.55;123%;525112
23;ShExML-v0.3.3;17.72;21.12;0.60;122%;545912
24;ShExML-v0.3.3;17.50;21.04;0.51;123%;541700
25;ShExML-v0.3.3;17.92;21.34;0.52;122%;536128
26;ShExML-v0.3.3;17.28;20.74;0.51;122%;523336
27;ShExML-v0.3.3;17.00;20.35;0.49;122%;546820
28;ShExML-v0.3.3;18.46;22.17;0.59;123%;542724
29;ShExML-v0.3.3;18.49;22.22;0.50;122%;487264
30;ShExML-v0.3.3;18.47;21.79;0.53;120%;513792
1;ShExML-v0.4.0;2.31;4.71;0.17;211%;254644
2;ShExML-v0.4.0;2.62;5.45;0.26;217%;260720
3;ShExML-v0.4.0;2.97;7.28;0.24;253%;242812
4;ShExML-v0.4.0;2.59;5.35;0.28;217%;273420
5;ShExML-v0.4.0;2.44;5.16;0.20;219%;268340
6;ShExML-v0.4.0;2.45;4.91;0.25;210%;249456
7;ShExML-v0.4.0;2.39;4.76;0.24;208%;256768
8;ShExML-v0.4.0;2.45;5.19;0.24;221%;257044
9;ShExML-v0.4.0;2.72;6.07;0.23;231%;253372
10;ShExML-v0.4.0;2.63;5.38;0.21;212%;263052
11;ShExML-v0.4.0;3.24;6.35;0.39;208%;258688
12;ShExML-v0.4.0;3.40;6.96;0.26;212%;291692
13;ShExML-v0.4.0;2.59;5.31;0.22;213%;245228
14;ShExML-v0.4.0;2.74;5.67;0.30;217%;249348
15;ShExML-v0.4.0;2.66;5.61;0.20;218%;245996
16;ShExML-v0.4.0;2.67;5.62;0.42;226%;241568
17;ShExML-v0.4.0;2.99;6.23;0.35;220%;229668
18;ShExML-v0.4.0;2.77;5.71;0.28;216%;253884
19;ShExML-v0.4.0;2.54;5.06;0.23;208%;268640
20;ShExML-v0.4.0;2.70;5.41;0.29;211%;250572
21;ShExML-v0.4.0;2.50;5.04;0.25;211%;246100
22;ShExML-v0.4.0;2.61;5.40;0.28;217%;260144
23;ShExML-v0.4.0;2.57;5.48;0.24;222%;259656
24;ShExML-v0.4.0;3.15;6.37;0.28;210%;265028
25;ShExML-v0.4.0;2.82;6.75;0.17;245%;236268
26;ShExML-v0.4.0;2.89;5.82;0.29;211%;254060
27;ShExML-v0.4.0;2.73;5.87;0.33;226%;252408
28;ShExML-v0.4.0;2.99;6.46;0.31;226%;247748
29;ShExML-v0.4.0;3.31;7.24;0.27;227%;246292
30;ShExML-v0.4.0;3.31;7.48;0.35;236%;261140
1;ShExML-v0.4.2;2.53;5.08;0.19;207%;258356
2;ShExML-v0.4.2;2.55;4.97;0.33;208%;259904
3;ShExML-v0.4.2;2.57;5.15;0.24;209%;257104
4;ShExML-v0.4.2;2.60;5.16;0.19;205%;240692
5;ShExML-v0.4.2;2.52;4.78;0.29;201%;239056
6;ShExML-v0.4.2;2.68;5.49;0.22;213%;245516
7;ShExML-v0.4.2;2.57;5.14;0.19;207%;245448
8;ShExML-v0.4.2;2.46;4.67;0.25;200%;244828
9;ShExML-v0.4.2;2.90;5.89;0.22;210%;256728
10;ShExML-v0.4.2;2.82;5.26;0.29;196%;257852
11;ShExML-v0.4.2;3.20;6.18;0.33;203%;268276
12;ShExML-v0.4.2;3.40;7.49;0.22;227%;251776
13;ShExML-v0.4.2;2.88;5.64;0.39;209%;253500
14;ShExML-v0.4.2;2.77;5.49;0.24;206%;236272
15;ShExML-v0.4.2;3.02;5.93;0.33;207%;255500
16;ShExML-v0.4.2;2.80;5.38;0.32;203%;263040
17;ShExML-v0.4.2;2.84;5.34;0.29;198%;244096
18;ShExML-v0.4.2;2.65;5.08;0.26;201%;262772
19;ShExML-v0.4.2;2.87;6.21;0.29;226%;246184
20;ShExML-v0.4.2;2.70;5.11;0.31;200%;260844
21;ShExML-v0.4.2;2.72;5.47;0.18;207%;247396
22;ShExML-v0.4.2;2.63;5.51;0.22;217%;264708
23;ShExML-v0.4.2;2.70;5.70;0.25;220%;253376
24;ShExML-v0.4.2;2.79;5.33;0.20;198%;241932
25;ShExML-v0.4.2;2.82;5.52;0.37;209%;239496
26;ShExML-v0.4.2;2.54;5.06;0.23;208%;258692
27;ShExML-v0.4.2;2.72;5.61;0.24;214%;241636
28;ShExML-v0.4.2;2.59;5.32;0.21;213%;247852
29;ShExML-v0.4.2;2.72;5.48;0.22;209%;277340
30;ShExML-v0.4.2;2.57;5.07;0.22;205%;257668
1;ShExML-v0.5.1;2.96;5.69;0.23;199%;195524
2;ShExML-v0.5.1;2.43;4.93;0.22;211%;197888
3;ShExML-v0.5.1;2.81;5.53;0.20;204%;191428
4;ShExML-v0.5.1;2.21;4.23;0.14;198%;186968
5;ShExML-v0.5.1;2.52;4.76;0.27;199%;190808
6;ShExML-v0.5.1;2.45;4.35;0.21;186%;191088
7;ShExML-v0.5.1;2.53;5.36;0.22;219%;190240
8;ShExML-v0.5.1;2.92;5.66;0.22;201%;200164
9;ShExML-v0.5.1;2.49;4.81;0.31;205%;195092
10;ShExML-v0.5.1;2.55;4.67;0.17;189%;196832
11;ShExML-v0.5.1;2.53;4.77;0.23;197%;192100
12;ShExML-v0.5.1;2.48;5.04;0.25;213%;189148
13;ShExML-v0.5.1;2.70;4.87;0.25;189%;192828
14;ShExML-v0.5.1;2.43;4.68;0.23;202%;185368
15;ShExML-v0.5.1;2.42;4.55;0.29;199%;195064
16;ShExML-v0.5.1;2.25;4.24;0.20;197%;189644
17;ShExML-v0.5.1;2.51;5.46;0.10;221%;192564
18;ShExML-v0.5.1;2.68;5.24;0.16;201%;192268
19;ShExML-v0.5.1;3.10;6.54;0.27;219%;198728
20;ShExML-v0.5.1;2.81;5.36;0.10;194%;186056
21;ShExML-v0.5.1;2.65;5.06;0.25;200%;195396
22;ShExML-v0.5.1;2.70;5.32;0.14;202%;187656
23;ShExML-v0.5.1;2.82;5.32;0.22;196%;198684
24;ShExML-v0.5.1;2.57;5.26;0.19;212%;192436
25;ShExML-v0.5.1;2.82;5.02;0.28;187%;195020
26;ShExML-v0.5.1;2.85;5.36;0.23;196%;192556
27;ShExML-v0.5.1;2.66;5.06;0.24;199%;195256
28;ShExML-v0.5.1;2.64;5.30;0.31;212%;192700
29;ShExML-v0.5.1;2.37;4.46;0.13;193%;193128
30;ShExML-v0.5.1;2.85;5.77;0.27;211%;196796
